ID,Name,Visit,Date,Taste,Portion,Presentation,Service,Atmosphere,Location,Facilities,Cleanliness,Cost,Overall,Rank
64,"The Star Inn, Old Heathfield",1,Aug-24,9,6,13,4,7,8,6,6
65,"Bohemian, Eastbourne",1,Nov-24,12,6,10,3,4,9,9,8
66,"Lazy Fox, Mark Cross",1,Dec-24,9,8,11,6,3,4,8,7
67,"The Coal Hole, London",1,Dec-24,18,8,16,6,4,9,2,7
68,"Two Sawyers, Pett",1,Jan-25,12,8,16,5,3,8,7,8
69,"Picture Playhouse, Bexhill",1,Jan-25,9,6,6,4,4,5,8,3
70,"The Princess of Wales, Blackheath",1,Feb-25,16,6,11,3,6,6,6,7
71,"The Half Moon, Plumpton",1,Mar-25,15,7,16,7,4,6,6,7
72,"The New Inn, Winchelsea",1,Apr-25,13,8,15,6,8,10,6,8
73,"Picture Playhouse, Bexhill",2,Apr-25,8,4,6,8,4,5,6,4
74,"The Juggs, Kingston ",1,May-25,14,9,15,5,8,10,7,6
75,"Robin Hood Inn, Icklesham",1,Jun-25,17,8,13,5,2,7,7,8
76,"The Anchor Inn, Barcombe Mills",1,Jul-25,7,5,7,3,2,10,6,2
77,"The Bull, Newick",1,Aug-25,15,9,13,7,6,7,6,9
78,"The George, Nunny Catch",1,Sep-25,16,6,10,8,6,9,6,9
79,"The Crown, Wells",1,Sep-25,7,6,9,8,4,9,7,7
80,"The White Hart, Netherfield",1,Oct-25,19,8,16,5,9,9,8,10
81,"Saleshurst Halt, Robertsbridge",1,Nov-25,14,8,12,6,6,7,5,6
82,"The White Dog, Robertsbridge",1,Dec-25,16,6,16,7,7,8,8,7
83,"The Porcupine, London",1,Dec-25,9,8,14,1,4,8,4,2
84,"The Cock Inn, Lewes",1,Jan-26,18,8,17,6,6,3,5,8
85,"The Gypsy Moth, Greenwich",1,Feb-26,7,8,13,4,5,10,7,4
86,"Browns, Soho, London",1,Mar-26,15,7,12,3,6,8,8,8
